Language_ID,language,Family_name,Macroarea,Longitude,Latitude,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415,Language_Type
agut1237,Agutaynen,Austronesian,Papunesia,119.655,10.5328,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
arta1239,Arta,Austronesian,Papunesia,121.656,16.4185,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,1,1,0,0,Philippine Language
atam1240,Ata Manobo,Austronesian,Papunesia,125.499,7.7789,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
bala1311,Balangingi,Austronesian,Papunesia,121.686646,6.011614,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,Philippine Language
bong1289,Bonggi,Austronesian,Papunesia,117.174,7.29249,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
boto1242,Botolan Sambal,Austronesian,Papunesia,120.164,15.2315,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
cent2084,Central Cagayan Agta,Austronesian,Papunesia,121.857,17.9571,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,Philippine Language
cent2087,Coastal-Naga Bikol,Austronesian,Papunesia,123.403,13.7574,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,Philippine Language
cent2292,Central Bontoc,Austronesian,Papunesia,120.92,17.08,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Philippine Language
fili1244,Filipino,Austronesian,Papunesia,123.464,12.265,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,Philippine Language
